country,year,iso_code,population,gdp,cement_co2,co2,co2_including_luc,coal_co2,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_luc_co2,cumulative_oil_co2,land_use_change_co2,oil_co2,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_luc_co2,share_global_oil_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,output_co2_production
Afghanistan,1949,AFG,7356890,,,0.015,8.039,0.015,,0.015,8.039,0.015,527.616,,8.024,0,0,0,0.078,0,0,0,0.001,0,0.14,0,0.16,0,0.129,0,0,0,0,14656
Afghanistan,1950,AFG,7480464,9421400064,,0.084,8.585,0.021,,0.099,16.624,0.036,536.116,0.063,8.5,0.063,0,0.001,0.075,0.001,0,0,0.003,0,0.141,0,0.157,0.004,0.129,0,0,0,0,98928
Afghanistan,1951,AFG,7571542,9692279808,,0.092,9.142,0.026,,0.191,25.765,0.061,545.167,0.129,9.05,0.066,0,0.001,0.076,0.001,0,0,0.004,0,0.141,0,0.162,0.004,0.129,0,0,0.001,0,190528
Afghanistan,1952,AFG,7667534,10017325056,,0.092,9.948,0.032,,0.282,35.713,0.093,555.023,0.189,9.856,0.06,0,0.001,0.082,0.001,0,0,0.006,0,0.141,0.001,0.172,0.003,0.129,0,0,0.001,0,282128
Afghanistan,1953,AFG,7764549,10630519808,,0.106,10.915,0.038,,0.388,46.628,0.131,565.832,0.257,10.809,0.068,0,0.002,0.087,0.001,0,0,0.007,0,0.142,0.001,0.185,0.003,0.129,0,0,0.001,0,388384
Afghanistan,1954,AFG,7864289,10866360320,,0.106,11.684,0.043,,0.495,58.313,0.174,577.41,0.321,11.578,0.064,0,0.002,0.091,0.001,0,0,0.009,0,0.143,0.001,0.193,0.003,0.129,0,0,0.001,0,494640
Afghanistan,1955,AFG,7971933,11078185984,,0.154,12.795,0.062,,0.649,71.107,0.236,590.051,0.413,12.641,0.092,0,0.002,0.094,0.001,0,0,0.011,0,0.144,0.001,0.204,0.004,0.128,0,0,0.001,0,648528
Afghanistan,1956,AFG,8087730,11581236224,,0.183,13.703,0.062,,0.832,84.811,0.298,603.571,0.534,13.52,0.121,0,0.002,0.096,0.001,0,0,0.012,0,0.145,0.001,0.212,0.005,0.128,0,0,0.001,0,831728
Afghanistan,1957,AFG,8210207,11578973184,,0.293,14.766,0.077,,1.125,99.577,0.375,618.044,0.75,14.473,0.216,0,0.004,0.1,0.002,0,0,0.014,0,0.146,0.002,0.22,0.008,0.128,0,0,0.001,0,1124848
Afghanistan,1958,AFG,8333827,12238841856,,0.33,15.828,0.092,,1.455,115.405,0.467,633.542,0.988,15.499,0.238,0,0.004,0.104,0.002,0,0.001,0.016,0,0.147,0.002,0.229,0.009,0.128,0,0,0.001,0,1454608
Afghanistan,1959,AFG,8468220,12579874816,0.018,0.385,16.506,0.11,0.018,1.839,131.911,0.577,649.664,1.244,16.122,0.256,0.013,0.004,0.103,0.002,0.001,0.001,0.018,0,0.148,0.003,0.227,0.009,0.128,0,0,0.001,0,1839179
Afghanistan,1960,AFG,8622473,13033253888,0.018,0.414,18.477,0.127,0.036,2.253,150.389,0.704,667.727,1.513,18.064,0.269,0.011,0.004,0.116,0.002,0.002,0.001,0.02,0,0.15,0.003,0.275,0.009,0.128,0,0,0.001,0,2253064
Afghanistan,1961,AFG,8790140,13146287104,0.022,0.491,16.429,0.176,0.058,2.744,166.818,0.88,683.666,1.806,15.938,0.293,0.013,0.005,0.106,0.004,0.003,0.001,0.022,0,0.152,0.003,0.261,0.009,0.128,0,0,0.001,0,2743862
Afghanistan,1962,AFG,8969055,13367633920,0.029,0.689,14.978,0.297,0.087,3.432,181.796,1.176,697.955,2.169,14.29,0.363,0.016,0.007,0.096,0.006,0.004,0.001,0.023,0,0.153,0.004,0.242,0.01,0.127,0,0,0.001,0,3432456
Afghanistan,1963,AFG,9157463,13630298112,0.051,0.707,14.85,0.264,0.138,4.139,196.646,1.44,712.098,2.561,14.143,0.392,0.027,0.007,0.093,0.005,0.005,0.001,0.025,0.001,0.154,0.004,0.25,0.01,0.127,0,0,0.001,0,4139192
Afghanistan,1964,AFG,9355510,13870503936,0.062,0.839,12.087,0.3,0.2,4.978,208.733,1.741,723.347,3.037,11.248,0.476,0.03,0.008,0.074,0.006,0.007,0.001,0.026,0.001,0.155,0.005,0.205,0.012,0.126,0,0,0.001,0,4977743
Afghanistan,1965,AFG,9565154,14187419648,0.084,1.007,12.072,0.381,0.283,5.985,220.805,2.122,734.412,3.58,11.065,0.542,0.039,0.009,0.074,0.007,0.01,0.002,0.027,0.001,0.155,0.005,0.218,0.012,0.126,0,0,0.001,0,5984660
Afghanistan,1966,AFG,9783153,14325264384,0.087,1.091,13.036,0.429,0.371,7.076,233.841,2.55,746.357,4.155,11.945,0.575,0.037,0.009,0.078,0.008,0.012,0.002,0.028,0.001,0.156,0.006,0.246,0.012,0.125,0,0,0.001,0,7075819
Afghanistan,1967,AFG,10010037,14734025728,0.065,1.282,10.442,0.399,0.436,8.358,244.283,2.95,755.517,4.712,9.16,0.557,0.027,0.01,0.061,0.008,0.013,0.002,0.028,0.001,0.157,0.006,0.186,0.011,0.125,0,0,0.001,0,8357684
Afghanistan,1968,AFG,10247782,15254250496,0.047,1.223,9.248,0.332,0.483,9.581,253.53,3.282,763.541,5.209,8.024,0.497,0.018,0.009,0.052,0.006,0.013,0.002,0.029,0.001,0.157,0.006,0.161,0.009,0.124,0,0,0.001,0,9581075
Afghanistan,1969,AFG,10494491,15493193728,0.051,0.941,8.196,0.363,0.534,10.522,261.726,3.645,770.796,5.736,7.255,0.528,0.019,0.007,0.044,0.007,0.013,0.003,0.029,0.001,0.157,0.006,0.155,0.009,0.124,0,0,0.001,0,10522307
Afghanistan,1970,AFG,10752973,15812232192,0.047,1.67,8.888,0.437,0.581,12.193,270.615,4.082,778.014,6.408,7.218,0.672,0.016,0.011,0.046,0.008,0.014,0.003,0.03,0.001,0.157,0.007,0.157,0.01,0.123,0,0,0.001,0,12192704
